instance_name,group,pca_1,pca_2,tsne_1,tsne_2,umap_1,umap_2
iptv-epg_vn_2026-01-04,Instances_IPTV,0.3637172309484279,0.021911644188838286,4.103521,16.363434,18.149933,15.589538
iptv-epg_vn_2026-01-05,Instances_IPTV,0.27294188574031997,-0.06705128764595825,1.3687239,16.071144,18.000832,15.929725
iptv-epg_vn_2026-01-06,Instances_IPTV,-0.821524703389809,-0.9572423919982552,-3.0594118,-48.79209,-15.72654,17.445196
iptv-epg_vn_2026-01-07,Instances_IPTV,-0.821524703389809,-0.9572423919982552,-2.734179,-47.067295,-15.462831,17.529575
iptv-epg_za_2026-01-04,Instances_IPTV,0.5512026946611325,-0.04230181919170417,25.832932,-5.9138346,7.5731134,10.014973
iptv-epg_za_2026-01-05,Instances_IPTV,0.5173430997623284,0.05760684483463563,11.345833,18.742062,17.742764,13.905345
iptv-epg_za_2026-01-06,Instances_IPTV,0.10444761361856769,0.018075697431760296,-11.446523,-9.920093,11.765979,0.54332924
iptv-epg_za_2026-01-07,Instances_IPTV,0.15104048988238405,-0.0093233400936652,-12.46561,-16.26842,12.392189,2.8046055
iptv-epg_zw_2026-01-04,Instances_IPTV,0.47677184682307294,0.10227184795721356,11.070438,25.171791,18.960342,14.107997
iptv-epg_zw_2026-01-05,Instances_IPTV,0.4483585043115158,0.1047795622555554,10.76398,25.730238,19.232151,14.266214
iptv-epg_zw_2026-01-06,Instances_IPTV,0.08821046778650443,0.03741369688339524,-9.612183,-6.8955054,11.094467,0.6920469
iptv-epg_zw_2026-01-07,Instances_IPTV,0.173594421321838,-0.11030825475274642,13.027892,-14.23457,8.4889345,6.02258
